Stock,Sector,MAPE (%),RMSE,Dir Acc (%)
HDFCBANK.NS,Banking,99.9998,987.2073,42.74
INFY.NS,IT,100.0004,1515.3908,48.39
SUNPHARMA.NS,Pharma,100.0,1675.5286,45.97
M&M.NS,Auto,100.0001,3475.2155,39.52
HINDUNILVR.NS,FMCG,99.9999,2468.8056,54.03
