Stock,Sector,Last Known Price,Forecast Day 1,Forecast Day 2,Pred Return D1 (%),Pred Return D2 (%)
HDFCBANK.NS,Banking,990.9,998.7255817375349,999.7108737842401,0.79,0.889
INFY.NS,IT,1621.6,1634.8510225630432,1635.9011434568029,0.817,0.882
SUNPHARMA.NS,Pharma,1709.1,1718.7698686466238,1716.5308446567344,0.566,0.435
M&M.NS,Auto,3660.3,3482.346356834999,3484.285361685639,-4.862,-4.809
HINDUNILVR.NS,FMCG,2290.2,2295.1069180539926,2297.0959136174874,0.214,0.301
