Stock,Sector,Last Known Price,Forecast Day 1,Forecast Day 2,Pred Return D1 (%),Pred Return D2 (%)
HDFCBANK.NS,Banking,990.9,987.93,988.24,-0.299,-0.268
INFY.NS,IT,1621.6,1664.28,1667.6,2.632,2.837
SUNPHARMA.NS,Pharma,1709.1,1709.92,1703.99,0.048,-0.299
M&M.NS,Auto,3660.3,3232.14,3235.37,-11.697,-11.609
HINDUNILVR.NS,FMCG,2290.2,2246.85,2251.62,-1.893,-1.685
